GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AB84001,AB84002,AB84003,AB84004,AB84005,AB84006,AB84007,AB84008,AB84009,AB84010,AB84011,AB84012,AB84013,AB84014,AB84015,AB84016,AB84017,AB84018
"G0100010","1925","Alabama","010","Autauga","0010","AUTAUGA",34012,33585,120,194,113,0,250,1482,,,0,0,,,19,1821,6340,5
"G0100030","1925","Alabama","010","Baldwin","0030","BALDWIN",21129,20739,178,74,138,0,9,143,,,0,0,,,31,346,8621,74
"G0100050","1925","Alabama","010","Barbour","0050","BARBOUR",57116,56660,0,456,0,89,233,509,,,0,0,,,107,22840,2059,0
"G0100070","1925","Alabama","010","Bibb","0070","BIBB",19528,19423,0,79,26,33,16,1093,,,0,0,,,258,324,1783,12
"G0100090","1925","Alabama","010","Blount","0090","BLOUNT",44151,43429,12,684,26,108,314,1941,,,0,0,,,1272,879,429,59
"G0100110","1925","Alabama","010","Bullock","0110","BULLOCK",42741,42670,10,61,0,0,107,129,,,0,0,,,36,924,1778,72
"G0100130","1925","Alabama","010","Butler","0130","BUTLER",53524,53426,0,94,4,69,161,1576,,,0,0,,,18,1137,12225,82
"G0100150","1925","Alabama","010","Calhoun","0150","CALHOUN/BENTON",31187,29564,192,1421,10,150,196,743,,,0,0,,,1164,57,354,89
"G0100170","1925","Alabama","010","Chambers","0170","CHAMBERS",47944,46591,340,968,45,140,252,2185,,,0,0,,,320,179,4561,17
"G0100190","1925","Alabama","010","Cherokee","0190","CHEROKEE",38175,36575,12,1585,3,207,185,591,,,0,0,,,1468,118,104,13
"G0100210","1925","Alabama","010","Chilton","0210","CHILTON/BAKER",36369,36172,0,167,30,36,435,2512,,,0,0,,,84,274,9034,28
"G0100230","1925","Alabama","010","Choctaw","0230","CHOCTAW",26210,26182,0,28,0,26,19,457,,,0,0,,,57,340,3558,11
"G0100250","1925","Alabama","010","Clarke","0250","CLARKE",36114,35806,0,255,53,0,13,366,,,0,0,,,102,585,6418,4
"G0100270","1925","Alabama","010","Clay","0270","CLAY",34082,33833,23,198,28,88,342,1535,,,0,0,,,563,65,3058,66
"G0100290","1925","Alabama","010","Cleburne","0290","CLEBURNE",23362,22802,0,518,42,46,49,381,,,0,0,,,275,53,136,14
"G0100310","1925","Alabama","010","Coffee","0310","COFFEE",73801,73468,39,248,46,43,8,435,,,0,0,,,55,52087,18525,0
"G0100330","1925","Alabama","010","Colbert","0330","COLBERT",35326,35090,43,175,18,61,50,479,,,0,0,,,652,27,101,0
"G0100350","1925","Alabama","010","Conecuh","0350","CONECUH",45464,45362,0,75,27,0,72,835,,,0,0,,,7,2411,12570,8
"G0100370","1925","Alabama","010","Coosa","0370","COOSA",20231,20198,0,33,0,13,191,808,,,0,0,,,100,67,596,5
"G0100390","1925","Alabama","010","Covington","0390","COVINGTON",77913,77659,4,114,136,0,157,798,,,0,0,,,60,10980,31297,26
"G0100410","1925","Alabama","010","Crenshaw","0410","CRENSHAW",57767,57398,12,346,11,52,76,655,,,0,0,,,15,9154,9852,19
"G0100430","1925","Alabama","010","Cullman","0430","CULLMAN",58324,57383,64,873,4,23,138,3012,,,0,0,,,720,258,514,46
"G0100450","1925","Alabama","010","Dale","0450","DALE",44089,43799,5,272,13,0,7,350,,,0,0,,,14,33070,15723,63
"G0100470","1925","Alabama","010","Dallas","0470","DALLAS",41801,41086,50,396,269,199,278,1208,,,0,0,,,198,280,580,19
"G0100490","1925","Alabama","010","DeKalb","0490","DE KALB",74338,73830,45,447,16,322,126,1103,,,0,0,,,589,186,103,52
"G0100510","1925","Alabama","010","Elmore","0510","ELMORE",36761,36569,0,177,15,57,699,2269,,,0,0,,,32,74,3570,8
"G0100530","1925","Alabama","010","Escambia","0530","ESCAMBIA",26916,26843,0,73,0,0,30,415,,,0,0,,,5,816,10549,13
"G0100550","1925","Alabama","010","Etowah","0550","ETOWAH",35502,34772,205,503,22,37,102,618,,,0,0,,,1056,45,88,11
"G0100570","1925","Alabama","010","Fayette","0570","FAYETTE",33118,33009,0,103,6,115,44,1040,,,0,0,,,237,498,1900,45
"G0100590","1925","Alabama","010","Franklin","0590","FRANKLIN",37888,37789,0,94,5,63,104,606,,,0,0,,,314,67,54,6
"G0100610","1925","Alabama","010","Geneva","0610","GENEVA",63684,63534,0,75,75,0,102,641,,,0,0,,,48,34600,38594,19
"G0100630","1925","Alabama","010","Greene","0630","GREENE",26379,26306,0,64,9,43,207,667,,,0,0,,,227,253,855,12
